Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample
P55212,0,1,0,0,1
P55265,0,1,0,0,1
P55769,1,0,0,0,1
P56545,0,1,0,0,1
P60510,0,1,0,0,1
P61081,1,0,0,0,1
P61086,1,1,0,0,0
P61201,0,1,0,0,1
P61218,1,0,0,0,1
P61326,0,1,0,0,1
P61956,0,1,0,0,1
P61960,1,0,0,0,1
P62191,0,1,0,0,1
P62312,0,1,0,0,1
P62633,0,0,1,0,1
P62714,1,1,0,0,0
P62910,1,0,0,0,1
P63151,0,1,0,0,1
P63173,1,0,0,0,1
P63279,0,1,0,0,1
P68036,0,1,0,1,0
P78318,0,1,0,0,1
P78332,0,1,0,0,1
P78347,0,0,1,0,1
P78406,1,0,0,0,1
P83881,0,0,1,0,1
P84090,0,1,0,0,1
P98179,1,0,0,0,1
Q01085,0,1,0,0,1
Q01433,0,1,0,0,1
Q01581,0,1,0,0,1
Q01658,0,1,0,0,1
Q01970,0,1,0,0,1
Q02224,0,0,1,0,1
Q02241,0,1,0,0,1
Q02880,0,0,1,0,1
Q02952,0,1,0,0,1
Q03164,1,0,0,0,1
Q04206,1,0,0,0,1
Q05086,0,1,0,0,1
Q05519,0,1,0,0,1
Q06546,1,1,0,0,0
Q08170,1,1,0,0,0
Q08752,0,1,0,0,1
Q10570,0,1,0,0,1
Q12765,0,0,0,1,1
Q12789,0,0,1,0,1
Q12792,0,1,0,0,1
Q12888,0,1,0,0,1
Q12996,0,1,0,0,1
Q13098,0,1,0,0,1
Q13151,0,0,1,0,1
Q13155,0,1,0,0,1
Q13257,0,1,0,0,1
Q13595,0,1,0,0,1
Q13601,0,1,0,0,1
Q13617,0,1,0,0,1
Q14008,0,0,1,0,1
Q14137,0,1,0,0,1
Q14157,1,0,0,0,1
Q14166,0,1,0,0,1
Q14191,0,0,1,0,1
Q14203,0,1,0,0,1
Q14320,0,0,1,0,1
Q14376,1,0,0,0,1
Q14562,1,0,0,0,1
Q14678,0,0,1,0,1
Q14683,0,1,0,0,1
Q14839,0,1,0,0,1
Q14919,0,1,0,0,1
Q14966,1,0,0,0,1
Q14CX7,0,1,0,0,1
Q15007,0,1,0,0,1
Q15020,0,1,0,0,1
Q15029,0,1,0,0,1
Q15056,0,0,0,1,1
Q15121,1,0,0,0,1
Q15370,0,1,0,0,1
Q15427,0,1,0,0,1
Q15651,0,0,1,0,1
Q15654,0,1,0,0,1
Q15746,0,1,0,0,1
Q16186,1,0,0,0,1
Q16222,1,0,0,0,1
Q16401,0,1,0,0,1
Q16630,0,1,0,0,1
Q16763,0,1,0,0,1
Q2TAY7,0,1,0,0,1
Q4FZB7,0,1,0,0,1
Q4G0P3,0,0,1,0,1
Q52LJ0,0,1,0,0,1
Q53FA7,0,1,0,0,1
Q53FT3,0,1,0,0,1
Q53GS9,0,1,0,0,1
Q53H96,0,1,0,0,1
Q53HC9,0,1,0,0,1
Q5BKZ1,0,1,0,0,1
Q5CZC0,0,0,1,0,1
Q5JS54,0,1,0,0,1
Q5JSL3,0,1,0,0,1
Q5JVF3,0,1,0,0,1
Q5T7W0,1,0,0,0,1
Q5T8P6,0,1,0,0,1
Q5TA45,1,0,0,0,1
Q5VT06,1,0,0,0,1
Q5VTT5,1,0,0,0,1
Q68CQ4,0,1,0,0,1
Q69YN4,1,0,0,0,1
Q6DD87,0,1,0,0,1
Q6DKJ4,0,1,0,0,1
Q6IA86,0,1,0,0,1
Q6P1J9,0,1,0,0,1
Q6P2Q9,0,1,0,0,1
Q6P2S7,1,0,0,0,1
Q6P5R6,0,1,0,0,1
Q6PF05,1,0,0,0,1
Q6PIJ6,0,0,1,0,1
Q6PJT7,0,1,0,0,1
Q6PKG0,0,0,1,0,1
Q6UB99,0,1,0,0,1
Q6UXN9,0,1,0,0,1
Q6ZNL6,0,1,0,0,1
Q70CQ2,1,0,0,0,1
Q711Q0,1,0,0,0,1
Q76FK4,0,0,1,0,1
Q76N89,0,1,0,0,1
Q7KZ85,0,1,0,0,1
Q7L1Q6,0,1,0,0,1
Q7L5N1,0,1,0,0,1
Q7Z739,0,1,0,0,1
Q7Z7L7,1,0,0,0,1
Q86U42,0,0,1,0,1
Q86U86,0,0,1,0,1
Q86UW6,0,0,1,0,1
Q86WQ0,0,1,0,0,1
Q86X55,0,1,0,0,1
Q86XP3,0,1,0,0,1
Q8IVF4,0,0,1,0,1
Q8IVL1,0,1,0,0,1
Q8IWC1,0,0,1,0,1
Q8IWV8,0,1,0,0,1
Q8IWX8,0,1,0,0,1
Q8IX12,1,1,0,0,0
Q8IXM2,0,0,1,0,1
Q8IYW2,1,0,0,0,1
Q8IZL8,0,1,0,0,1
Q8IZT6,0,0,1,0,1
Q8N2W9,0,1,0,0,1
Q8N392,1,1,0,0,0
Q8N3U4,0,1,0,0,1
Q8N3X1,0,1,0,0,1
Q8N543,0,1,0,0,1
Q8N8N7,1,0,0,0,1
Q8NA47,0,0,1,0,1
Q8NEV4,0,0,1,0,1
Q8NEZ5,0,1,0,0,1
Q8NG66,0,0,1,0,1
Q8TAF3,0,1,0,0,1
Q8TAQ2,0,1,0,0,1
Q8TAT6,0,1,0,0,1
Q8TBC4,0,1,0,0,1
Q8TCU4,1,0,0,0,1
Q8TD57,0,1,0,0,1
Q8TE73,0,0,1,0,1
Q8TEQ6,0,1,0,0,1
Q8TEX9,0,1,0,0,1
Q8WU90,0,1,0,0,1
Q8WUH2,0,1,0,0,1
Q8WUI4,1,0,0,0,1
Q8WVJ2,1,0,0,0,1
Q8WVY7,0,1,0,0,1
Q8WX92,0,1,0,0,1
Q92522,0,0,1,0,1
Q92616,0,1,0,0,1
Q92734,1,0,0,0,1
Q92769,0,1,0,0,1
Q92794,1,0,0,0,1
Q92804,0,0,1,0,1
Q92900,0,1,0,0,1
Q92922,0,0,1,0,1
Q92925,0,1,0,0,1
Q92979,0,1,0,0,1
Q93008,0,1,0,0,1
Q93034,0,1,0,0,1
Q969U7,0,1,0,0,1
Q96C90,0,1,0,0,1
Q96DI7,0,1,0,0,1
Q96GG9,0,1,0,0,1
Q96GX9,0,1,0,0,1
Q96JB1,0,0,1,0,1
Q96JM2,1,0,0,0,1
Q96JN0,0,0,1,0,1
Q96KM6,0,1,0,0,1
Q96KQ7,0,1,0,0,1
Q96KR1,0,1,0,0,1
Q96N67,0,0,1,0,1
Q96P11,0,1,0,0,1
Q96P70,0,1,0,0,1
Q96PE2,0,0,1,0,1
Q96QD9,0,0,1,0,1
Q99426,1,0,0,0,1
Q99598,0,1,0,0,1
Q99614,1,0,0,0,1
Q99996,0,0,1,0,1
Q9BPX3,0,0,1,0,1
Q9BQG0,0,1,0,0,1
Q9BT73,0,1,0,0,1
Q9BTE3,0,1,0,0,1
Q9BVJ6,1,0,0,0,1
Q9BXP5,0,1,0,0,1
Q9BY32,0,0,0,1,1
Q9BYW2,1,0,0,0,1
Q9C005,0,1,0,0,1
Q9C037,1,0,0,0,1
Q9C0A1,1,0,0,0,1
Q9C0B1,0,1,0,0,1
Q9C0C9,0,1,0,0,1
Q9GZL7,0,1,0,0,1
Q9GZP4,0,1,0,0,1
Q9GZP8,1,0,0,0,1
Q9GZR7,0,1,0,0,1
Q9GZZ9,0,1,0,0,1
Q9H008,0,1,0,0,1
Q9H074,0,1,0,0,1
Q9H0C8,0,1,0,0,1
Q9H2C0,0,1,0,0,1
Q9H2J4,0,0,1,0,1
Q9H3U1,0,1,0,0,1
Q9H4A3,0,1,0,0,1
Q9H792,1,0,0,0,1
Q9H8Y8,0,1,0,0,1
Q9H9L3,1,0,0,0,1
Q9H9Q2,0,1,0,0,1
Q9HAB8,0,1,0,0,1
Q9HAV4,0,1,0,0,1
Q9HCE0,0,0,1,0,1
Q9NP77,0,1,0,0,1
Q9NPH2,0,1,0,0,1
Q9NQW6,0,1,0,0,1
Q9NR09,0,1,0,0,1
Q9NR48,1,0,0,0,1
Q9NT62,0,1,0,0,1
Q9NTZ6,0,1,0,0,1
Q9NU22,1,0,0,0,1
Q9NV70,0,1,0,0,1
Q9NVS9,0,1,0,0,1
Q9NVX2,0,1,0,0,1
Q9NW64,0,1,0,0,1
Q9NX55,0,0,1,0,1
Q9NXG2,0,1,0,0,1
Q9NXH9,0,1,0,0,1
Q9NXV6,0,1,0,0,1
Q9NYC9,0,1,0,0,1
Q9NYF0,0,1,0,0,1
Q9NYF8,0,0,1,0,1
Q9NZL4,0,1,0,0,1
Q9P0K7,1,0,0,0,1
Q9P225,0,1,0,0,1
Q9P287,0,1,0,0,1
Q9P2I0,0,1,0,0,1
Q9P2N5,0,1,0,0,1
Q9P2T1,0,1,0,0,1
Q9UBQ5,0,0,1,0,1
Q9UBW8,0,1,0,0,1
Q9UBZ9,0,0,1,0,1
Q9UDT6,0,1,0,0,1
Q9UHB9,0,1,0,0,1
Q9UHJ6,0,1,0,0,1
Q9UHV7,1,0,0,0,1
Q9UHY1,0,1,0,0,1
Q9UI26,0,1,0,0,1
Q9UI30,0,1,0,0,1
Q9UIC8,1,0,0,0,1
Q9UIG0,0,0,1,0,1
Q9UJC5,0,1,0,0,1
Q9UJV9,0,0,1,0,1
Q9UJX3,0,1,0,0,1
Q9UKD2,0,1,0,0,1
Q9UKF6,0,1,0,0,1
Q9UKM9,0,1,0,0,1
Q9UKV3,0,0,1,0,1
Q9UNS2,0,1,0,0,1
Q9UNX4,0,1,0,0,1
Q9UPT8,0,0,1,0,1
Q9UPU5,0,1,0,0,1
Q9UQ35,0,0,1,0,1
Q9UQ88,0,0,1,0,1
Q9Y294,0,1,0,0,1
Q9Y2K7,0,0,1,0,1
Q9Y2T3,0,1,0,0,1
Q9Y2Z0,0,1,0,0,1
Q9Y3P9,1,0,0,0,1
Q9Y3U8,0,1,0,0,1
Q9Y4A5,0,0,1,0,1
Q9Y4B6,0,1,0,0,1
Q9Y4X5,0,1,0,0,1
Q9Y4Z0,0,1,0,0,1
Q9Y520,1,0,0,0,1
A0A024RBG1,0,0,0,0,1
A0A1B0GWK0,0,0,0,0,1
A0A286YF01,0,0,0,0,1
A0AUZ9,0,0,0,0,1
A0MZ66,0,0,0,0,1
A1X283,0,0,0,0,1
A1Z1Q3,0,0,0,0,1
A2RUC4,0,0,0,0,1
A3KN83,0,0,0,0,1
A4UGR9,0,0,0,0,1
A6H8Y1,0,0,0,0,1
A6NCC3,0,1,0,0,0
A6ND36,0,0,0,0,1
A6NDK9,0,0,0,0,1
A6NFN3,0,0,0,0,1
A6NHQ2,0,1,0,0,0
A6NHR9,0,0,0,0,1
A6NIH7,0,0,0,0,1
A6NJZ7,0,0,0,0,1
A7MCY6,0,1,0,0,0
A8K8P3,0,0,0,0,1
A8MUH7,0,0,0,0,1
A8MWD9,1,0,0,0,0
A8MX34,0,0,0,0,1
A8MXV4,0,0,0,0,1
C9J1S8,0,0,0,0,1
G2XKQ0,1,0,0,0,0
L0R819,0,0,0,0,1
O00170,0,0,0,0,1
O00255,0,0,0,0,1
O00268,0,0,0,0,1
O00329,0,0,0,0,1
O00399,0,0,0,0,1
O00423,0,0,0,0,1
O00425,0,0,0,0,1
O00442,0,0,0,0,1
O00458,0,0,0,0,1
O00459,0,0,0,0,1
O00470,0,0,0,0,1
O00472,0,0,0,0,1
O00479,0,0,0,0,1
O00505,0,0,0,0,1
O00534,0,0,0,0,1
O00541,0,0,0,0,1
O00567,0,0,0,0,1
O00625,0,0,0,0,1
O00635,0,0,0,0,1
O14513,0,0,0,0,1
O14519,0,0,0,0,1
O14531,0,0,0,0,1
O14578,0,0,0,0,1
O14593,0,0,0,0,1
O14639,0,0,0,0,1
O14646,0,1,0,0,0
O14647,0,0,0,0,1
O14686,0,0,0,0,1
O14732,0,0,0,0,1
O14733,0,0,0,0,1
O14776,0,1,0,0,0
O14777,0,0,0,0,1
O14802,0,0,0,0,1
O14924,0,0,0,0,1
O14933,0,0,0,0,1
O15040,0,0,0,0,1
O15054,0,0,0,0,1
O15061,0,0,0,0,1
O15084,0,0,0,0,1
O15116,0,0,0,0,1
O15119,0,0,0,0,1
O15151,0,0,0,0,1
O15160,0,0,0,0,1
O15164,0,0,0,0,1
O15213,0,0,0,0,1
O15226,0,0,0,0,1
O15254,0,0,0,0,1
O15259,0,0,0,0,1
O15305,0,0,0,0,1
O15344,0,0,0,0,1
O15360,0,0,0,0,1
O15381,0,0,0,0,1
O15392,0,0,0,0,1
O15397,0,0,0,0,1
O15539,0,1,0,0,0
O15541,1,0,0,0,0
O15550,0,0,0,0,1
O43159,0,0,0,0,1
O43166,0,0,0,0,1
O43172,0,0,0,0,1
O43196,0,0,0,0,1
O43237,0,0,0,0,1
O43251,0,1,0,0,0
O43281,0,0,0,0,1
O43324,0,0,0,0,1
O43390,0,1,0,0,0
O43395,0,0,0,0,1
