Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample,,exocarta top100,contém/não contém,,vesiclepedia top100,contém/não contém,,Vesiclepedia+exocarta,,
P62318,1,1,0,0,1,,,,,,,,A6ZKI3,,4202
P62495,1,1,0,0,1,,,,,,,,A7E2F4,,4212
P62753,1,1,0,0,1,,,,,,,,A7E2V4,,4220
P62841,1,1,0,0,1,,,,,,,,A7E2Y1,,4229
P62847,1,1,0,0,1,,,,,,,,A7KAX9,,4230
P62995,0,1,1,0,1,,,,,,,,A7MBM2,,4250
P63220,1,0,1,0,1,,,,,,,,A7XYQ1,,4267
P63313,1,1,0,0,1,,,,,,,,A8K0Z3,,4275
P78330,1,1,0,0,1,,,,,,,,A8K2U0,,4306
P78344,0,1,1,0,1,,,,,,,,A8K7I4,,4310
P78527,1,1,0,0,1,,,,,,,,A8K8P3,,4337
P82979,1,0,1,0,1,,,,,,,,A8K8V0,,4380
P84098,1,0,1,0,1,,,,,,,,A8K979,,4395
P84103,1,0,1,0,1,,,,,,,,A8MPS7,,4396
P98175,1,1,0,0,1,,,,,,,,A8MPY1,,4419
Q00577,1,1,0,0,1,,,,,,,,A8MQ03,,4442
Q00688,1,0,1,0,1,,,,,,,,A8MQ27,,4447
Q01130,1,0,1,0,1,,,,,,,,A8MT33,,4463
Q02543,1,1,0,0,1,,,,,,,,A8MTJ3,,4525
Q03252,1,1,1,0,0,,,,,,,,A8MTL9,,4556
Q06203,1,1,0,0,1,,,,,,,,A8MUP2,,4621
Q07020,1,1,0,0,1,,,,,,,,A8MUZ8,,4642
Q07666,1,0,1,0,1,,,,,,,,A8MVS5,,4656
Q08945,1,1,0,0,1,,,,,,,,A8MVU1,,4701
Q13148,1,1,0,0,1,,,,,,,,A8MVW0,,4864
Q13247,0,1,1,0,1,,,,,,,,A8MVX0,,4892
Q13428,0,0,1,1,1,,,,,,,,A8MWY0,,4947
Q13616,0,1,0,1,1,,,,,,,,A8MXT2,,5007
Q14011,0,0,1,1,1,,,,,,,,A8MXV4,,5070
Q14232,1,1,0,0,1,,,,,,,,A8MXY4,,5128
Q14258,1,1,0,0,1,,,,,,,,A8MXZ3,,5137
Q14444,1,1,0,0,1,,,,,,,,A8MYZ5,,5160
Q14566,0,1,1,0,1,,,,,,,,A8MZ36,,5186
Q14847,1,0,1,0,1,,,,,,,,A8MZ97,,5254
Q14978,0,0,1,1,1,,,,,,,,A8MZG2,,5272
Q15393,1,1,0,0,1,,,,,,,,A9YTQ3,,5385
Q15417,1,1,0,0,1,,,,,,,,B0I1T2,,5389
Q15428,0,0,1,1,1,,,,,,,,B0YJ81,,5393
Q15637,1,0,1,0,1,,,,,,,,B1AH88,,5425
Q16576,1,1,0,0,1,,,,,,,,B1AJZ9,,5521
Q16650,1,0,1,0,1,,,,,,,,B1AK53,,#N/D
Q3YEC7,0,1,1,0,1,,,,,,,,B1AMM8,,5724
Q5SSJ5,1,0,1,0,1,,,,,,,,B1ANS9,,5981
Q7L014,0,1,1,0,1,,,,,,,,B2RC85,,6818
Q7L2H7,0,1,0,1,1,,,,,,,,B2RPK0,,6832
Q8IZ83,1,1,0,0,1,,,,,,,,B2RTY4,,7466
Q8N8S7,0,1,0,1,1,,,,,,,,B2RU33,,7737
Q8WW12,0,0,1,1,1,,,,,,,,B2RXF0,,8312
Q8WXF1,1,1,0,0,1,,,,,,,,B2RXF5,,8368
Q92696,1,1,0,0,1,,,,,,,,B2RXH4,,8494
Q93009,0,1,1,0,1,,,,,,,,B2RXH8,,8575
Q96C19,0,1,0,1,1,,,,,,,,B3EWF7,,8724
Q96CN7,1,1,0,0,1,,,,,,,,B3EWG5,,8742
Q96CT7,1,0,1,0,1,,,,,,,,B3KS81,,8750
Q96FJ2,1,1,0,0,1,,,,,,,,B5ME19,,8852
Q96MT7,1,0,1,0,1,,,,,,,,B6SEH9,,9089
Q96RS6,1,1,0,0,1,,,,,,,,B7U540,,9234
Q99471,1,1,0,0,1,,,,,,,,B7ZAP0,,9317
Q99729,0,1,0,1,1,,,,,,,,B7ZAQ6,,9382
Q99733,0,1,0,1,1,,,,,,,,B7ZW38,,9384
Q99873,1,1,0,0,1,,,,,,,,B9A064,,9407
Q9H0D6,0,1,1,0,1,,,,,,,,B9EJG8,,9988
Q9H3K6,1,0,0,1,1,,,,,,,,C9JH25,,10132
Q9H6Z4,0,1,1,0,1,,,,,,,,C9JI98,,10229
Q9H832,1,1,0,0,1,,,,,,,,C9JLR9,,10261
Q9H910,1,0,1,0,1,,,,,,,,C9JN71,,10286
Q9NQG5,0,1,0,1,1,,,,,,,,C9JQI7,,10553
Q9NSD9,1,1,0,0,1,,,,,,,,C9JRZ8,,10686
Q9NTJ3,1,1,0,0,1,,,,,,,,E0CX11,,10704
Q9NUU7,0,1,1,0,1,,,,,,,,E5RJM6,,10741
Q9NYL9,1,1,0,0,1,,,,,,,,E7ERA6,,10896
Q9P2J5,1,1,0,0,1,,,,,,,,E9PAV3,,11082
Q9UHX1,1,1,0,0,1,,,,,,,,F7VJQ1,,11286
Q9UHY7,0,1,0,1,1,,,,,,,,H0Y354,,11289
Q9UIA9,0,1,1,0,1,,,,,,,,H0YL14,,11305
Q9UK76,1,0,1,0,1,,,,,,,,H3BUK9,,11387
Q9ULC4,1,1,0,0,1,,,,,,,,H7BZ55,,11477
Q9UMS4,1,1,0,0,1,,,,,,,,K7EJ46,,11557
Q9UQE7,0,1,1,0,1,,,,,,,,M0R2J8,,11660
Q9Y224,1,1,0,0,1,,,,,,,,O00115,,11675
Q9Y262,1,1,0,0,1,,,,,,,,O00116,,11694
Q9Y285,1,1,0,0,1,,,,,,,,O00139,,11709
Q9Y333,1,1,0,0,1,,,,,,,,O00144,,11806
Q9Y3C6,1,1,0,0,1,,,,,,,,O00148,,11837
Q9Y3I0,1,1,0,0,1,,,,,,,,O00151,,11852
Q9Y570,1,1,0,0,1,,,,,,,,O00154,,11935
Q9Y6E2,0,1,1,0,1,,,,,,,,O00159,,12053
Q9Y6M1,1,1,0,0,1,,,,,,,,O00160,,12073
A0AVT1,0,1,0,0,1,,,,,,,,O00161,,12
A2PYH4,0,0,1,0,1,,,,,,,,O00170,,#N/D
A2RUB6,0,0,1,0,1,,,,,,,,O00178,,50
A6NDG6,0,1,0,0,1,,,,,,,,O00182,,99
A8MW92,1,0,1,0,0,,,,,,,,O00186,,#N/D
B5ME19,1,1,0,0,0,,,,,,,,O00187,,219
O00139,0,0,1,0,1,,,,,,,,O00189,,246
O00148,1,1,0,0,0,,,,,,,,O00192,,248
O00151,1,0,0,0,1,,,,,,,,O00193,,249
O00233,1,0,0,0,1,,,,,,,,O00194,,275
O00244,0,0,0,1,1,,,,,,,,O00203,,278
O00267,1,0,0,0,1,,,,,,,,O00204,,282
O00273,1,0,0,0,1,,,,,,,,O00206,,284
O00422,0,0,1,0,1,,,,,,,,O00212,,310
O00629,0,1,0,0,1,,,,,,,,O00214,,364
O14497,0,0,1,0,1,,,,,,,,O00217,,384
O14530,0,1,0,0,1,,,,,,,,O00219,,396
O14744,0,1,0,0,1,,,,,,,,O00220,,442
O14841,0,0,1,0,1,,,,,,,,O00221,,470
O14929,0,1,0,0,1,,,,,,,,O00222,,484
O14979,0,0,1,0,1,,,,,,,,O00231,,502
O14980,0,1,0,0,1,,,,,,,,O00232,,503
O15042,0,1,0,0,1,,,,,,,,O00233,,520
O15231,1,0,0,0,1,,,,,,,,O00238,,571
O15327,1,0,0,0,1,,,,,,,,O00241,,594
O15347,1,0,0,0,1,,,,,,,,O00244,,596
O15514,0,1,0,0,1,,,,,,,,O00255,,#N/D
O43148,1,0,0,0,1,,,,,,,,O00258,,646
O43290,0,0,1,0,1,,,,,,,,O00264,,675
O43592,0,1,0,0,1,,,,,,,,O00267,,741
O43617,0,1,0,0,1,,,,,,,,O00268,,748
O43660,0,1,0,0,1,,,,,,,,O00273,,754
O43684,0,1,0,0,1,,,,,,,,O00291,,765
O43768,0,0,1,0,1,,,,,,,,O00292,,#N/D
O43809,0,1,0,0,1,,,,,,,,O00295,,790
O43818,0,1,0,0,1,,,,,,,,O00299,,794
O60264,0,1,0,0,1,,,,,,,,O00300,,836
O60341,0,0,1,0,1,,,,,,,,O00303,,863
O60832,0,0,1,0,1,,,,,,,,O00305,,951
O60925,1,0,1,0,0,,,,,,,,O00308,,971
O75531,1,0,0,0,1,,,,,,,,O00322,,1112
O75534,1,0,0,0,1,,,,,,,,O00327,,1114
O75592,1,0,0,0,1,,,,,,,,O00329,,1126
O75643,0,1,0,0,1,,,,,,,,O00330,,1139
O75822,0,0,1,0,1,,,,,,,,O00337,,1170
O75937,1,0,0,0,1,,,,,,,,O00338,,1200
O94808,0,1,0,0,1,,,,,,,,O00339,,1257
O94874,0,1,0,0,1,,,,,,,,O00341,,1273
O94903,0,1,0,0,1,,,,,,,,O00358,,1284
O94915,1,0,0,0,1,,,,,,,,O00391,,1291
O95232,0,1,0,0,1,,,,,,,,O00399,,1356
O95394,1,0,0,0,1,,,,,,,,O00400,,1394
O95447,0,1,0,0,1,,,,,,,,O00401,,1408
O95777,0,1,0,0,1,,,,,,,,O00408,,#N/D
O95816,0,1,0,0,1,,,,,,,,O00410,,1481
O95989,0,1,0,0,1,,,,,,,,O00411,,1522
P02795,0,0,1,1,0,,,,,,,,O00421,,1709
P04183,0,1,0,0,1,,,,,,,,O00422,,1748
P05386,1,1,0,0,0,,,,,,,,O00425,,1824
P06454,0,0,0,1,1,,,,,,,,O00429,,1858
P08397,0,1,0,0,1,,,,,,,,O00442,,1970
P08579,0,1,0,0,1,,,,,,,,O00443,,1982
P09455,0,1,0,0,1,,,,,,,,O00444,,2030
P09661,0,1,0,0,1,,,,,,,,O00445,,2049
P09914,1,0,0,0,1,,,,,,,,O00451,,2060
P09936,0,0,1,0,1,,,,,,,,O00453,,2064
P10412,1,1,0,0,0,,,,,,,,O00458,,2171
P11137,1,0,0,0,1,,,,,,,,O00459,,2210
P11387,0,1,0,0,1,,,,,,,,O00461,,2237
P11388,0,0,1,0,1,,,,,,,,O00462,,2238
P11908,1,1,0,0,0,,,,,,,,O00463,,2258
P15170,0,0,1,0,1,,,,,,,,O00468,,2404
P15374,1,0,0,0,1,,,,,,,,O00469,,2414
P15559,0,1,0,0,1,,,,,,,,O00470,,2426
P15927,0,1,0,0,1,,,,,,,,O00471,,2442
P17480,0,0,1,0,1,,,,,,,,O00472,,2515
P18621,0,1,0,0,1,,,,,,,,O00476,,2564
P19388,0,1,0,0,1,,,,,,,,O00478,,2588
P19971,0,1,0,0,1,,,,,,,,O00481,,2613
P20290,0,1,0,0,1,,,,,,,,O00483,,2628
P23193,1,0,0,0,1,,,,,,,,O00487,,2761
P23610,0,1,0,0,1,,,,,,,,O00499,,2792
P23921,0,1,0,0,1,,,,,,,,O00501,,2799
P26368,0,1,0,0,1,,,,,,,,O00505,,2866
P28340,0,0,1,0,1,,,,,,,,O00506,,2934
P30566,0,1,0,0,1,,,,,,,,O00507,,3034
P30876,0,1,0,0,1,,,,,,,,O00512,,3045
P31350,0,1,0,0,1,,,,,,,,O00515,,3063
P31942,1,0,0,0,1,,,,,,,,O00519,,3081
P32321,1,0,0,0,1,,,,,,,,O00522,,3103
P33240,0,1,0,0,1,,,,,,,,O00526,,3119
P35813,0,1,0,0,1,,,,,,,,O00533,,3220
P36959,1,0,0,0,1,,,,,,,,O00534,,3262
P37235,0,1,0,0,1,,,,,,,,O00541,,3272
P40938,1,0,0,0,1,,,,,,,,O00548,,3333
P42694,0,0,1,0,1,,,,,,,,O00555,,3398
P43378,1,0,0,0,1,,,,,,,,O00560,,3445
P46013,0,1,0,0,1,,,,,,,,O00562,,3472
P46060,0,1,0,0,1,,,,,,,,O00566,,3476
P46063,0,0,1,0,1,,,,,,,,O00567,,3477
P46087,0,0,1,0,1,,,,,,,,O00570,,3478
P46109,0,1,0,0,1,,,,,,,,O00571,,3482
P46821,1,0,0,0,1,,,,,,,,O00584,,3497
P47224,0,1,0,0,1,,,,,,,,O00585,,3506
P48507,1,0,0,0,1,,,,,,,,O00587,,3547
P48556,0,1,0,0,1,,,,,,,,O00590,,3554
P48681,0,0,0,1,1,,,,,,,,O00592,,3564
P48739,0,1,0,0,1,,,,,,,,O00602,,3570
P49023,1,0,0,0,1,,,,,,,,O00622,,3581
P49247,0,1,0,0,1,,,,,,,,O00625,,3590
P49366,0,1,0,0,1,,,,,,,,O00626,,3598
P49459,0,1,0,0,1,,,,,,,,O00629,,3610
P49902,0,1,0,0,1,,,,,,,,O00635,,3660
P50238,1,0,0,0,1,,,,,,,,O00712,,3678
P50579,0,1,0,0,1,,,,,,,,O00716,,3696
P51114,0,1,0,0,1,,,,,,,,O00743,,3711
P51659,0,1,0,0,1,,,,,,,,O00744,,3750
P51784,0,1,0,0,1,,,,,,,,O00746,,3763
P52434,0,1,0,0,1,,,,,,,,O00748,,3805
P52630,0,0,1,0,1,,,,,,,,O00750,,3813
P53582,1,0,0,0,1,,,,,,,,O00754,,3854
P53602,0,1,0,0,1,,,,,,,,O00755,,3856
P55196,1,0,0,0,1,,,,,,,,O00757,,3951
P55212,0,1,0,0,1,,,,,,,,O00762,,3958
P55265,0,1,0,0,1,,,,,,,,O00763,,3961
P55769,1,0,0,0,1,,,,,,,,O00764,,3971
P56545,0,1,0,0,1,,,,,,,,O00767,,4001
P60510,0,1,0,0,1,,,,,,,,O14490,,4094
P61081,1,0,0,0,1,,,,,,,,O14493,,4121
P61086,1,1,0,0,0,,,,,,,,O14494,,4122
P61201,0,1,0,0,1,,,,,,,,O14495,,4130
P61218,1,0,0,0,1,,,,,,,,O14497,,4132
P61326,0,1,0,0,1,,,,,,,,O14498,,4142
P61956,0,1,0,0,1,,,,,,,,O14508,,4166
P61960,1,0,0,0,1,,,,,,,,O14511,,4167
P62191,0,1,0,0,1,,,,,,,,O14513,,4181
P62312,0,1,0,0,1,,,,,,,,O14514,,4199
P62633,0,0,1,0,1,,,,,,,,O14520,,4213
