Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample
P38432,0,0,0,0,1
P38919,0,1,0,0,0
P39880,0,0,0,0,1
P40261,0,0,0,0,1
P40306,0,0,0,0,1
P40394,0,0,1,0,0
P40424,0,0,0,0,1
P40855,0,0,0,0,1
P41208,0,0,0,0,1
P41212,0,0,0,0,1
P41214,0,0,0,0,1
P41223,0,0,0,0,1
P41226,0,0,0,0,1
P41229,0,0,0,0,1
P42166,1,0,0,0,0
P42224,0,0,0,0,1
P42331,0,0,0,0,1
P42338,0,0,0,0,1
P42357,0,0,0,0,1
P42695,0,0,1,0,0
P42696,0,0,0,0,1
P42771,0,0,0,0,1
P42898,0,0,0,0,1
P43246,0,0,0,0,1
P43364,0,0,1,0,0
P45381,0,0,0,0,1
P45973,0,0,0,0,1
P46100,0,0,0,0,1
P46736,0,0,0,0,1
P46937,0,0,1,0,0
P47813,0,0,0,0,1
P48382,0,0,0,0,1
P48552,0,0,0,0,1
P48553,0,0,0,0,1
P48729,0,0,0,0,1
P49005,0,0,0,0,1
P49356,0,0,0,0,1
P49441,0,0,0,0,1
P49450,0,0,0,0,1
P49593,0,0,0,0,1
P49711,0,0,0,0,1
P49750,0,0,0,0,1
P49756,0,0,0,0,1
P49770,0,0,0,0,1
P49790,0,0,0,0,1
P49917,0,0,0,0,1
P49959,0,0,0,0,1
P50548,0,0,0,0,1
P50613,0,0,0,0,1
P50748,0,0,0,0,1
P51003,0,0,0,0,1
P51116,0,0,0,0,1
P51452,0,0,0,0,1
P51580,0,0,0,0,1
P51610,0,0,0,0,1
P51617,0,0,0,0,1
P51812,0,0,0,0,1
P51826,0,0,0,0,1
P51854,0,0,0,0,1
P51946,0,0,0,0,1
P51948,0,0,0,0,1
P52179,0,0,0,0,1
P52294,0,0,0,0,1
P52298,0,0,0,0,1
P52655,0,1,0,0,0
P52657,0,0,0,0,1
P52701,0,0,0,0,1
P52732,0,0,0,0,1
P52735,0,0,0,0,1
P52926,0,0,0,0,1
P52952,0,0,0,0,1
P53365,0,0,0,0,1
P53367,0,0,0,0,1
P53384,0,0,0,0,1
P53609,0,0,0,0,1
P53611,0,0,0,0,1
P53671,0,1,0,0,0
P53804,0,0,0,0,1
P54105,0,0,0,0,1
P54132,0,0,0,0,1
P54277,0,0,0,0,1
P54284,0,0,0,0,1
P54619,0,0,0,0,1
P55201,0,0,0,0,1
P55795,0,0,0,0,1
P55854,1,0,0,0,0
P56182,0,0,0,0,1
P56270,0,0,0,0,1
P56945,0,0,0,0,1
P57071,0,0,0,0,1
P57076,0,0,0,0,1
P57081,0,0,0,0,1
P57740,0,0,0,0,1
P57772,0,0,0,0,1
P59046,0,0,0,0,1
P60323,0,0,0,0,1
P60370,0,0,0,0,1
P60891,0,0,0,0,1
P61011,0,0,0,0,1
P61599,0,0,0,0,1
P61927,0,0,0,0,1
P61962,0,0,0,0,1
P61964,0,0,0,0,1
P62256,0,0,0,0,1
P62308,0,0,0,0,1
P62487,0,0,0,0,1
P62760,0,1,0,0,0
P62877,0,0,0,0,1
P63302,0,0,0,0,1
P68363,0,1,0,0,0
P68400,0,0,0,0,1
P78316,0,0,0,0,1
P78345,0,0,0,0,1
P78346,0,0,0,0,1
P78362,0,0,0,0,1
P78415,0,0,0,0,1
P78559,0,0,0,0,1
P78563,0,0,0,0,1
P80217,0,0,0,0,1
P82094,0,0,0,0,1
P83876,0,0,0,0,1
P84101,0,0,0,0,1
P86452,0,0,0,0,1
Q00653,0,0,0,0,1
Q01064,0,0,0,0,1
Q01415,0,0,0,0,1
Q01804,0,0,0,0,1
Q02078,0,0,0,0,1
Q02447,0,0,0,0,1
Q03111,0,0,0,0,1
Q03112,0,0,0,0,1
Q03181,0,0,1,0,0
Q03468,0,0,0,0,1
Q03923,1,0,0,0,0
Q04323,0,0,0,0,1
Q04724,0,0,0,0,1
Q04864,0,0,0,0,1
Q05048,0,0,0,0,1
Q05639,0,1,0,0,0
Q06190,0,0,0,0,1
Q06330,0,0,0,0,1
Q06455,0,0,0,0,1
Q06710,0,0,0,0,1
Q07889,0,0,0,0,1
Q08426,0,0,0,0,1
Q08623,0,0,0,0,1
Q08AD1,0,0,0,0,1
Q08AM6,0,0,0,0,1
Q09019,0,0,0,0,1
Q09028,0,1,0,0,0
Q0VDD8,0,0,0,0,1
Q0VDF9,0,0,0,0,1
Q0VF96,0,0,1,0,0
Q0VGL1,0,0,0,0,1
Q12766,0,0,0,0,1
Q12768,0,0,0,0,1
Q12769,0,0,0,0,1
Q12774,0,0,0,0,1
Q12788,0,0,0,0,1
Q12815,0,1,0,0,0
Q12824,0,0,0,0,1
Q12872,0,0,0,0,1
Q12899,0,0,0,0,1
Q12972,0,0,0,0,1
Q12979,0,1,0,0,0
Q12986,0,0,0,0,1
Q13023,0,0,0,0,1
Q13042,0,0,0,0,1
Q13045,0,0,0,0,1
Q13085,0,0,0,0,1
Q13105,0,0,0,0,1
Q13112,0,1,0,0,0
Q13129,0,0,0,0,1
Q13131,0,0,0,0,1
Q13136,0,0,0,0,1
Q13144,0,0,0,0,1
Q13188,0,0,0,0,1
Q13206,0,0,0,0,1
Q13232,0,0,0,0,1
Q13242,0,0,0,0,1
Q13243,0,0,0,0,1
Q13287,0,0,0,0,1
Q13363,0,0,0,0,1
Q13395,0,0,1,0,0
Q13422,0,0,0,0,1
Q13426,0,1,0,0,0
Q13427,0,0,0,0,1
Q13459,0,0,0,0,1
Q13485,0,0,0,0,1
Q13523,0,0,0,0,1
Q13535,0,0,0,0,1
Q13542,0,0,1,0,0
Q13547,0,1,0,0,0
Q13562,1,0,0,0,0
Q13573,0,0,0,0,1
Q13608,0,0,1,0,0
Q13610,0,0,0,0,1
Q13619,0,1,0,0,0
Q13642,0,0,0,0,1
Q13643,0,0,0,0,1
Q13769,0,0,0,0,1
Q13795,0,0,0,0,1
Q13835,0,0,0,0,1
Q13895,0,0,0,0,1
Q13907,0,0,0,0,1
Q13946,0,0,1,0,0
Q13951,0,0,0,0,1
Q13952,0,0,0,0,1
Q13972,0,0,0,0,1
Q14123,0,0,0,0,1
Q14134,0,0,0,0,1
Q14139,0,0,0,0,1
Q14145,0,0,0,0,1
Q14146,0,0,0,0,1
Q14155,0,0,0,0,1
Q14161,0,0,0,0,1
Q14181,0,0,0,0,1
Q14185,0,0,0,0,1
Q14192,0,0,0,0,1
Q14202,0,0,0,0,1
Q14240,0,1,0,0,0
Q14331,0,0,0,0,1
Q14353,0,0,0,0,1
Q14498,0,0,0,0,1
Q14653,0,0,0,0,1
Q14657,0,0,0,0,1
Q14669,0,0,0,0,1
Q14671,0,0,0,0,1
Q14676,0,0,0,0,1
Q14684,0,0,0,0,1
Q14690,0,0,0,0,1
Q14692,0,0,0,0,1
Q14694,0,0,0,0,1
Q14738,0,0,0,0,1
Q14781,0,0,0,0,1
Q14872,0,0,0,0,1
Q14896,0,0,0,0,1
Q149M9,0,0,0,0,1
Q149N8,0,0,0,0,1
Q14CM0,0,0,0,0,1
Q15003,0,0,0,0,1
Q15014,0,0,0,0,1
Q15018,0,0,0,0,1
Q15021,0,0,0,0,1
Q15047,0,0,0,0,1
Q15050,0,0,0,0,1
Q15058,0,0,0,0,1
Q15061,0,0,0,0,1
Q15067,0,0,0,0,1
Q15111,0,0,0,0,1
Q15147,0,0,0,0,1
Q15172,0,0,0,0,1
Q15208,0,0,0,0,1
Q15269,0,0,0,0,1
Q15287,0,0,0,0,1
Q15291,0,0,0,0,1
Q15326,0,0,0,0,1
Q15334,0,0,0,0,1
Q15397,0,0,0,0,1
Q15477,0,0,0,0,1
Q15493,1,0,0,0,0
Q15528,0,0,0,0,1
Q15573,0,0,0,0,1
Q15645,0,0,0,0,1
Q15648,0,0,0,0,1
Q15650,0,0,0,0,1
Q15652,0,0,0,0,1
Q15653,0,0,0,0,1
Q15678,1,0,0,0,0
Q15696,0,1,0,0,0
Q15714,1,0,0,0,0
Q15750,0,0,0,0,1
Q15772,0,0,0,0,1
Q15813,0,0,0,0,1
Q15814,0,0,0,0,1
Q15911,0,0,0,0,1
Q16204,0,0,0,0,1
Q16513,0,0,0,0,1
Q16527,0,0,0,0,1
Q16537,0,0,0,0,1
Q16560,0,0,0,0,1
Q16600,1,0,0,0,0
Q16637,0,0,0,0,1
Q16649,0,0,0,0,1
Q16666,0,0,0,0,1
Q16774,0,0,0,0,1
Q16875,0,0,0,0,1
Q16890,0,0,0,0,1
Q17R89,0,0,0,0,1
Q17R98,0,0,0,0,1
Q17RB0,0,0,0,0,1
Q17RC7,0,0,0,0,1
Q19AV6,0,0,0,0,1
Q1ED39,0,0,0,0,1
Q27J81,0,0,0,0,1
Q29RF7,0,0,0,0,1
Q2KHM9,0,0,0,0,1
Q2KHR2,0,0,1,0,0
Q2KJY2,0,0,0,0,1
Q2M1K9,0,0,0,0,1
Q2M389,0,0,0,0,1
Q2NL82,0,0,0,0,1
Q2TAL8,0,0,0,0,1
Q2TB10,0,0,0,0,1
Q2TBE0,0,0,0,0,1
Q2VPK5,0,1,0,0,0
Q2VWA4,1,0,0,0,0
Q2YD98,0,0,0,0,1
Q32M88,0,0,0,0,1
Q32MZ4,0,0,0,0,1
Q32P44,0,0,0,0,1
Q3KQU3,0,0,0,0,1
Q3LI62,0,1,0,0,0
Q3SXY8,0,1,0,0,0
Q3SY00,0,0,0,0,1
Q3T8J9,0,0,0,0,1
Q460N5,0,0,0,0,1
Q494X3,1,0,0,0,0
